,Vibration(1-5),Vibration(6-8),"Distance(1, 2)","Distance(1, 5)","Distance(1, 8)","Distance(10, 17)","Distance(4, 20)","Distance(6, 8)","Distance(6, 22)","Distance(5, 22)","Distance(22, 24)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_17,NPA_20,NPA_22,NPA_24,NPA_25,NPA_difference_1_5,NPA_difference_6_8,NPA_difference_22_24,NPA_difference_22_25,Dihedral(5_1_8_6),Dihedral(2_1_8_6),Dihedral(1_5_22_25),Dihedral(8_6_22_24),Angle(5_22_25),Angle(25_22_24),Angle(24_22_6),Angle(5_22_6),Iso polarisabilty,Aniso polarisabilty,ddg
L34,1773.9402,1787.062,1.314556494,1.275865653,1.479118711,1.533759413,1.53460805,1.272970534,2.064108829,2.010352384,2.566989104,-7.9038,-8.9524,0.5908,11.9568,0.62251,-0.53278,-0.06289,-0.06087,-0.55866,-0.56329,-0.53647,0.61176,-0.06412,-0.06554,-0.47199,-0.46952,0.72836,-0.55711,-0.31568,1.18117,-1.17505,1.28547,1.04404,0.48777672,177.748804,179.4400231,170.5994274,92.28609475,96.00033513,92.90556275,79.1584529,367.272,214.079,0.878023403
L35,1773.9868,1787.4874,1.315475656,1.27573501,1.478716687,1.533791462,1.534753743,1.272654954,2.064779599,2.017825857,2.561894293,-7.1412,-7.4318,0.399,10.3145,0.62063,-0.53277,-0.05971,-0.06251,-0.55617,-0.56112,-0.53658,0.6102,-0.06131,-0.06801,-0.4624,-0.46068,0.72239,-0.55147,-0.31121,1.1768,-1.17132,1.27386,1.0336,0.601745112,179.2952607,179.1508669,170.4502161,91.91751735,96.23283081,92.81392264,79.22308625,408.45,255.153,0.698880468
L36,1772.4368,1786.2693,1.315774802,1.275763986,1.479135534,1.534758508,1.535677684,1.272937801,2.064704053,2.008772786,2.562398618,-6.7672,-7.1324,0.5489,9.8472,0.62137,-0.53229,-0.05863,-0.06342,-0.55567,-0.56077,-0.53583,0.61066,-0.06032,-0.06874,-0.4644,-0.46263,0.7223,-0.55168,-0.3139,1.17704,-1.17143,1.27398,1.0362,0.249657779,177.8596017,179.3252578,170.417481,92.05650862,96.34811093,92.86991712,79.0823256,444.012,349.653,0.802527261
L37,1772.3619,1785.4796,1.315412346,1.275883622,1.479188043,1.534627207,1.535051888,1.273076607,2.060014326,2.013513222,2.567044045,-4.8973,-4.7042,0.4823,6.8077,0.62133,-0.53285,-0.05785,-0.06004,-0.55841,-0.56357,-0.53664,0.61076,-0.0601,-0.06453,-0.46819,-0.46577,0.7289,-0.55817,-0.31181,1.17974,-1.17433,1.28707,1.04071,0.047590739,178.6005749,178.8160457,171.7052547,92.04350703,96.08378234,92.9046588,79.10097669,394.165,245.279,0.897868622
L38,1771.883,1785.7201,1.315401664,1.275980268,1.479359358,1.534460631,1.535161191,1.27300542,2.062238695,2.01471031,2.563304727,-6.973,-7.5088,0.5513,10.262,0.62153,-0.53223,-0.05913,-0.06047,-0.5574,-0.56253,-0.53596,0.61111,-0.06096,-0.06534,-0.46871,-0.46649,0.72381,-0.55204,-0.31221,1.17893,-1.17364,1.27585,1.03602,0.07479685,178.4647097,178.9076524,171.4992442,91.99188592,96.21953648,92.88400133,79.05135306,410.144,241.355,0.732319184
L39,1776.1956,1786.6838,1.314460843,1.275966722,1.475123149,1.554735829,1.55533547,1.273067666,2.060861196,2.024721691,2.586818767,-6.5431,-7.2063,1.3552,9.8274,0.63694,-0.52666,-0.07188,-0.06253,-0.55858,-0.55727,-0.53058,0.62619,-0.07282,-0.06652,-0.29252,-0.28621,0.75876,-0.56125,-0.33802,1.19552,-1.18346,1.32001,1.09678,7.221468203,168.175365,176.1692437,169.7266325,92.00038007,97.21108829,92.28334626,79.58626446,443.717,176.662,0.698880468
L40,1716.7262,1737.4383,1.35681594,1.288318324,1.484867222,1.540034794,1.539035136,1.283935352,2.050137092,2.021325322,2.577111279,-8.7393,-12.1777,2.6776,15.2264,0.49408,-0.50614,-0.21,-0.04226,-0.55691,-0.5555,-0.51079,0.48415,-0.2115,-0.0477,-0.2761,-0.27228,0.72821,-0.56143,-0.32552,1.05099,-1.03965,1.28964,1.05373,16.08330806,163.9045913,179.5365318,170.910841,92.57534321,96.3041543,92.73065909,79.48555508,390.293,184.433,1.487601229
L41,1716.089,1736.7402,1.356171263,1.288686611,1.484646944,1.540017677,1.538938719,1.284280146,2.048932031,2.022400964,2.578837399,-9.3083,-13.2196,2.8116,16.4106,0.49488,-0.50508,-0.20987,-0.04219,-0.5592,-0.55815,-0.50913,0.48507,-0.21142,-0.04759,-0.276,-0.27226,0.73008,-0.56334,-0.32635,1.05408,-1.04322,1.29342,1.05643,15.92102841,163.7977253,179.4026181,170.6500864,92.60567913,96.30348807,92.6307986,79.5530891,490.499,222.565,1.487601229
L42,1721.4552,1741.9238,1.360823609,1.286626373,1.486290639,1.540025685,1.539040042,1.282396327,2.052443202,2.025371392,2.571944563,-6.1476,-7.3679,2.0863,9.82,0.49095,-0.51088,-0.20994,-0.04255,-0.5475,-0.5468,-0.5141,0.48107,-0.21138,-0.04834,-0.27619,-0.27268,0.72412,-0.5543,-0.32387,1.03845,-1.02787,1.27842,1.04799,15.71721609,164.7274988,178.5233965,171.0302064,92.63717778,96.28641422,92.57651453,79.4092777,412.893,199.788,1.446176936
L43,1805.6477,1818.0805,1.349573712,1.277192873,1.454602179,1.533712447,1.535582957,1.27514209,2.117208077,2.056938768,2.558694628,-10.2422,-11.048,0.3061,15.0683,0.48907,-0.51828,-0.21609,-0.03684,-0.55512,-0.563,-0.5209,0.47827,-0.21722,-0.03953,-0.27434,-0.2691,0.73076,-0.55621,-0.29953,1.04419,-1.04127,1.28697,1.03029,6.874563402,174.5976974,178.7793976,163.8641091,90.14680006,95.72998118,92.86543548,81.84272412,283.911,116.948,1.152223798
L44,1799.0058,1812.884,1.345714587,1.278700139,1.453764258,1.533707936,1.535560844,1.276290589,2.110323027,2.058042764,2.56093435,-10.5405,-11.4818,0.7784,15.6057,0.48334,-0.50757,-0.21791,-0.03594,-0.5609,-0.5684,-0.5109,0.47195,-0.21824,-0.03926,-0.273,-0.26804,0.7297,-0.55756,-0.30132,1.04424,-1.04035,1.28726,1.03102,5.082681968,177.0162192,179.8788429,162.8036075,90.2889422,95.78057619,92.60689527,81.9428255,405.275,93.8899,1.531645756
L45,1752.7135,1771.3118,1.359515505,1.283668699,1.475094242,1.5394388,1.536907565,1.279491992,2.054570174,2.041842579,2.570246452,-9.2633,-11.4593,1.9531,14.8641,0.4951,-0.53053,-0.21466,-0.03959,-0.55082,-0.5575,-0.53571,0.48528,-0.21268,-0.04629,-0.27629,-0.26857,0.727,-0.55724,-0.3135,1.04592,-1.04278,1.28424,1.0405,5.553681429,173.8151184,176.4523559,168.0839227,91.98554784,95.89064809,93.01479155,80.28521711,294.403,112.853,1.578701951
L46,1757.2948,1773.9655,1.359411851,1.28301607,1.473539485,1.53927237,1.536818317,1.278929836,2.058964496,2.043542944,2.569323629,-9.3768,-11.5046,2.0082,14.9771,0.49658,-0.53021,-0.21306,-0.03948,-0.54996,-0.55642,-0.53556,0.48699,-0.21147,-0.04582,-0.27646,-0.26863,0.72707,-0.55684,-0.31261,1.04654,-1.04341,1.28391,1.03968,5.754659282,173.5323899,176.5729183,168.4158435,91.82065268,95.87453383,93.01584989,80.42118833,317.801,120.101,1.743478581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
